,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
46,1,34,129,5,116,106,103,27,26,48,115,84024,5872,8927,29751,117095,9049,139846,74328,14982,23566,7,7,18,9,7,21,5,18,9,7,21,5,7,7,6,7,7,7,7,5
47,1,135,24,5,48,78,34,108,91,104,76,1079269,34902,81767,37798,159564,223930,19256,10024,19168,46058,5,7,18,9,7,7,21,7,9,6,7,5,7,7,5,21,7,18,7,7
48,1,37,24,58,48,110,59,61,43,124,115,52104,34902,44923,37798,80945,61842,21249,9831,21006,79416,5,7,7,9,7,7,7,18,7,7,8,5,18,7,5,21,5,7,9,5
49,1,100,24,88,48,90,39,67,62,27,11,13120,34902,3050,37798,78836,19542,4828,69888,62373,173634,21,7,7,9,7,7,5,7,9,7,7,5,18,7,5,21,7,18,7,5
50,1,39,24,5,46,75,84,133,37,104,90,24357,34902,15765,65482,194581,4122,41791,54557,4868,12645,7,7,7,9,7,21,1,8,7,7,21,5,18,7,6,7,7,18,9,5
51,0,100,24,36,15,115,128,52,134,72,13,34107,34902,89375,13720,409329,12735,28978,10762,349272,123474,21,7,18,7,7,21,7,18,7,7,7,5,7,9,5,7,5,7,9,5
52,0,77,24,81,116,11,87,6,23,72,115,19445,34902,59384,11048,189801,6121,85780,39713,11107,43110,21,7,18,7,7,21,21,18,7,7,7,5,7,9,5,7,7,8,9,5
53,1,135,111,62,120,87,64,27,131,124,4,1079269,135151,163590,43377,23364,32000,29842,21081,48214,46064,6,5,18,7,7,7,7,7,7,5,7,7,7,9,5,21,21,18,9,7
54,1,29,24,28,46,4,99,11,5,65,13,17363,34902,213909,74129,7147,45850,10107,33759,181158,17034,7,7,7,9,5,7,5,7,7,5,21,5,18,7,7,5,7,18,9,7
55,0,39,24,62,48,78,34,139,55,27,13,215378,34902,122129,1556,13126,703894,147541,6503,86673,83867,21,7,18,7,5,21,7,18,7,5,7,5,7,9,7,7,1,7,9,7
56,0,118,24,37,104,76,77,69,81,72,12,12357,34902,10573,19911,2773,36709,43521,181032,62692,31860,21,7,18,9,7,21,21,7,9,6,7,5,8,7,5,7,7,18,7,7
57,1,103,24,35,124,4,32,30,98,73,14,13132,34902,20641,53517,18801,19780,286889,44224,90022,29603,5,7,7,9,7,7,5,7,7,6,7,5,18,7,5,21,7,18,9,7
58,0,131,24,35,132,78,20,3,91,46,115,121124,34902,36149,38319,28190,23263,9282,7844,23185,246149,5,7,18,9,7,7,7,18,9,7,7,5,7,7,5,5,5,8,7,5
59,1,103,24,121,15,67,122,21,71,116,13,24641,34902,100191,29864,4358,183892,331491,17861,3068,9135,7,7,18,7,7,21,21,7,7,5,21,5,7,9,5,7,7,18,9,7
60,1,108,24,55,27,67,77,31,111,48,63,27863,34902,37913,132421,57469,73040,51581,164771,18707,117599,7,7,7,9,6,7,21,7,7,6,21,5,18,7,7,21,7,18,9,7
61,0,95,24,57,72,12,93,64,62,48,115,97052,34902,33981,17488,107262,77848,19690,46229,21880,20735,7,7,18,7,5,5,7,7,7,7,21,5,7,9,7,7,21,18,9,5
62,0,131,24,114,65,63,20,54,82,48,4,121124,34902,15911,247750,37510,83733,3280,15467,4489,24584,5,7,18,9,5,8,21,18,7,7,7,5,7,7,7,7,7,7,9,5
63,0,20,24,94,124,90,95,27,130,132,107,15164,34902,66720,52255,24060,47383,10705,177944,3797,1284172,7,7,7,7,7,7,21,18,9,6,8,5,18,9,5,5,7,7,7,7
64,0,122,24,91,27,115,16,38,127,104,140,309544,34902,7568,441808,76367,296184,7289,194880,46518,25589,7,7,7,9,5,7,5,18,9,7,21,21,18,7,7,5,7,7,7,6
65,0,77,24,111,120,115,102,2,36,65,63,2197,34902,4216,82546,141661,66899,570586,10471,2371,50870,21,7,7,7,6,5,5,18,7,7,7,21,18,9,7,7,7,7,9,6
66,0,87,24,134,116,115,122,125,117,8,42,6484,34902,6846,80381,221,11355,78947,39571,8931,140772,21,7,18,9,9,21,9,7,7,7,7,21,7,7,7,7,7,18,9,6
67,0,88,2,1,65,76,129,109,5,46,14,75094,27692,23491,24919,450735,71277,95184,13882,53720,16132,7,5,7,9,5,7,2,18,2,5,1,7,18,7,7,5,7,7,7,7
68,0,20,24,117,65,63,34,2,91,124,88,48485,34902,9448,24523,963463,71471,21251,156654,86178,13641,7,7,18,7,5,7,5,18,7,7,21,21,7,9,7,5,7,7,9,5
69,0,34,126,101,135,78,93,129,137,46,142,84024,107875,137382,1079269,159564,17676,5806,17584,94408,1699664,7,7,18,9,7,7,7,7,9,7,5,5,7,7,5,5,5,18,7,5
70,1,56,67,43,65,87,44,86,62,124,63,17864,80077,106263,214923,23364,60436,48152,13350,58237,119926,7,2,18,7,7,7,5,18,7,5,21,7,7,9,5,21,7,7,9,7
71,0,135,67,127,46,78,96,21,86,65,88,1079269,72870,210453,47813,48914,139557,13376,6191,474762,19278,6,7,18,7,7,21,5,7,7,7,7,5,7,9,5,7,7,18,9,5
72,0,1,142,57,48,75,86,64,26,120,12,8912,39750,27211,21303,13093,127349,19272,54720,9057,162135,21,7,18,9,7,7,5,18,9,5,7,6,7,7,6,5,7,7,7,7
73,0,103,27,127,46,87,77,61,36,116,76,9054,60579,3661,597516,23364,68083,8669,57705,7881,183823,21,7,18,7,7,7,7,7,9,7,7,9,7,9,6,21,5,18,7,6
74,1,114,7,121,48,87,40,33,101,65,12,30686,438313,67922,136020,23364,21192,147831,26662,143037,35660,21,7,7,7,7,21,5,18,9,7,7,5,18,9,6,7,7,7,7,5
75,0,50,133,55,47,87,103,30,26,124,12,749727,2566,72954,86786,23364,95357,164459,17070,26147,42460,21,21,7,7,7,21,7,18,9,5,7,7,18,9,6,7,5,7,7,7
76,0,85,53,57,116,126,40,38,127,65,63,6070,264142,315,56810,107875,99931,746670,10038,57982,50423,21,5,18,9,7,21,5,18,9,5,7,7,7,7,6,7,7,7,7,7
77,1,38,50,57,47,63,118,128,80,116,87,262039,85925,28887,62574,37615,120794,115270,12969,48940,23732,7,5,7,7,7,5,21,7,9,7,21,7,18,9,5,7,7,18,7,6
78,1,3,18,131,47,87,34,109,117,116,88,36286,623380,223413,97561,23364,17889,23878,4850,36684,16096,21,7,18,9,7,5,1,7,9,7,7,5,7,7,6,7,7,18,7,5
79,1,45,61,71,27,126,93,138,57,116,142,49699,248043,155712,31989,107875,168588,64993,982,6881,654252,7,7,18,7,7,21,5,18,9,6,5,5,7,9,6,7,7,7,7,7
80,1,136,125,134,65,12,40,61,5,46,50,28208,32064,57124,20943,76456,43775,277558,136262,232444,38691,21,7,18,9,7,7,5,18,7,7,7,21,7,7,6,21,7,7,9,5
81,0,122,52,35,27,14,102,67,71,47,115,43769,239282,34921,86425,68302,62898,64945,4347,183930,32262,5,5,18,9,7,7,9,18,9,5,7,7,7,7,5,21,7,7,7,7
82,0,45,61,62,119,126,18,30,101,47,66,13701,20495,111196,134144,107875,5326,12979,34188,1070212,166632,7,7,18,7,7,21,5,18,7,7,21,5,7,9,5,7,7,7,9,5
83,1,33,67,62,27,14,94,69,127,119,125,248369,140353,42131,26874,68302,805277,12819,323673,134144,93312,7,7,18,9,7,7,7,18,7,5,5,9,7,7,5,21,21,7,9,7
84,0,1,135,55,15,126,129,40,43,27,114,9620,35818,3349,45478,107875,141519,26445,5463,26803,1236400,21,7,7,7,7,7,7,18,9,7,7,5,18,9,6,5,5,7,7,5
85,0,85,30,80,123,126,100,84,62,48,106,2765,65839,719,4307,107875,28992,150116,296681,13058,50534,7,5,7,9,7,7,8,18,9,6,21,7,18,7,6,21,7,7,7,7
86,1,34,40,121,27,115,87,125,62,65,14,137351,62318,37256,25154,15589,81026,858370,67761,19273,59968,21,5,18,7,7,7,7,7,7,5,7,7,7,9,6,21,9,18,9,7
87,1,114,3,36,65,126,16,9,134,48,4,22574,18251,166702,411440,107875,167306,78071,32080,7441,501796,21,7,18,7,7,21,5,18,9,7,7,5,7,9,6,7,7,7,7,5
88,1,136,125,36,8,126,114,74,135,65,68,30375,222636,142618,3620,107875,220590,1991963,44700,88426,28757,7,7,7,9,7,7,5,18,9,5,5,21,18,7,6,5,7,7,7,7
89,0,73,13,26,47,87,44,2,57,108,88,322013,114221,34799,8020,1713,32881,192727,23237,128365,28574,21,7,7,9,7,21,7,18,21,5,7,1,18,7,6,7,5,7,7,7
90,1,73,3,26,135,28,70,119,62,124,106,35224,36706,34799,62046,324872,7789,14679,21812,123229,552951,7,5,7,7,7,7,5,18,7,7,21,7,18,2,5,21,7,7,9,5
91,1,16,64,26,65,115,33,61,36,103,12,7263,33803,34799,33327,4668,39947,182999,11246,322023,170068,5,5,7,7,6,21,5,7,5,6,7,7,18,9,7,7,7,18,7,7
92,0,33,40,26,132,35,18,125,62,15,14,42515,16618,34799,38366,21413,15748,36783,55797,496655,180124,7,5,7,7,5,21,9,18,9,6,5,7,18,9,7,7,7,7,7,7
93,1,20,64,26,104,11,34,30,127,22,113,81291,77812,34799,32406,26603,103226,451866,82284,170758,41694,8,21,7,9,5,21,21,7,9,7,7,7,18,7,7,7,7,18,7,5
94,0,95,32,26,46,66,135,126,94,22,76,167383,248430,34799,256556,3806,212770,1851,163581,183148,353406,21,7,7,7,7,7,1,7,9,6,7,6,18,9,5,21,7,18,7,7
95,0,89,2,26,123,42,34,138,101,48,88,4817,445514,34799,14846,35003,39385,149315,64312,14766,4252,5,5,7,9,7,21,5,18,7,7,7,7,18,7,6,7,7,7,9,5
96,0,102,84,127,48,115,73,52,71,104,13,254559,16332,37480,10534,264512,106327,63311,1158,32010,1875,5,5,7,9,5,7,7,7,7,6,8,7,18,7,7,5,5,18,9,7
97,0,117,24,26,132,88,18,84,36,22,63,19169,53521,34799,8821,2196,9277,3798,52443,32617,55405,7,7,7,7,5,21,7,7,7,5,5,5,18,9,7,7,2,18,9,7
98,0,33,129,26,48,28,20,2,35,46,67,24169,18396,34799,12661,30737,6825,9954,16618,30158,163974,21,7,7,9,7,7,7,7,9,6,7,5,18,7,5,5,5,18,7,7
99,1,89,69,117,46,13,44,9,36,65,111,391203,70532,19846,193027,106441,111716,9987,4639,54864,308248,7,7,7,7,7,21,7,18,9,5,6,21,18,9,5,7,5,7,7,7
100,1,20,69,131,116,42,130,9,37,89,78,26126,38277,32048,75204,160449,84468,41018,101322,443759,118839,7,5,7,7,7,21,7,8,9,7,21,7,18,9,5,7,5,18,7,5
101,0,33,126,117,65,66,118,13,127,48,63,87250,135075,19846,44269,195195,85385,63111,48737,57467,42004,21,7,7,9,5,7,5,7,9,5,7,2,18,7,7,5,7,18,7,7
102,0,16,2,131,124,76,59,138,117,27,13,2923,393881,32048,31002,309231,28253,195631,11570,27085,104968,21,5,7,1,6,7,5,18,7,5,7,7,18,7,7,21,7,7,9,7
103,1,29,30,131,46,4,44,69,127,27,14,365937,58078,32048,13251,37090,87626,167157,180914,15805,17912,7,7,7,9,7,7,21,18,7,7,5,5,18,7,5,5,7,7,9,5
104,0,44,45,127,46,125,33,67,37,120,76,20069,8637,37480,149956,8003,87308,44262,331301,18407,133283,21,7,7,9,7,5,5,18,7,7,7,5,18,7,6,7,7,8,9,5
105,0,23,75,26,46,28,117,129,62,47,88,13962,2817,34799,38265,37746,3006,50918,117523,198413,126546,7,21,7,7,7,7,5,7,9,5,5,7,18,9,6,21,7,18,7,7
106,1,86,53,127,8,115,136,135,71,27,50,4370,630551,273933,768,15589,19764,179031,539517,89227,2304,7,7,18,9,7,7,7,7,7,6,5,5,7,7,6,21,5,18,9,7
107,0,3,31,5,27,63,40,140,127,8,75,14834,44292,4690,249320,37615,12210,7345,141953,114535,128418,7,7,18,9,7,5,7,18,7,7,5,5,7,7,6,7,9,7,9,6
108,1,102,3,43,47,126,34,7,82,46,115,26963,48257,47890,346110,107875,587951,175653,13310,163752,24723,8,5,7,7,7,21,7,18,7,7,5,7,18,9,5,7,5,7,9,5
109,1,77,129,71,48,126,33,89,57,8,67,34961,204665,200951,22161,107875,48938,8480,83670,104133,212369,7,7,7,7,7,7,7,18,7,7,21,5,18,9,5,5,5,7,1,5
110,1,29,69,73,46,115,43,109,62,47,13,4274,9277,119578,34381,15589,32342,187045,13627,137099,15906,21,5,18,9,7,5,7,18,9,7,7,7,7,7,6,7,5,7,7,5
111,0,95,24,117,46,115,20,112,134,22,12,117070,5599,35313,100909,15589,500220,31030,74791,79502,30616,7,7,18,1,7,21,7,18,7,7,5,5,8,7,6,7,5,7,9,5
112,1,124,24,89,23,126,29,138,94,38,67,74118,61523,37188,968,107875,33482,56944,78897,4745,33927,6,5,18,8,7,7,7,7,7,9,7,7,7,7,8,21,5,18,1,7
113,1,102,3,87,65,126,59,112,62,22,11,4445,303167,50965,5727,107875,482,83204,74033,78594,250269,21,5,18,21,7,7,5,18,9,5,8,7,7,7,5,21,7,7,7,7
114,0,77,31,36,65,126,95,61,48,38,115,41449,5455,109364,55497,107875,535167,34083,60754,3785,713862,21,7,18,21,7,7,21,7,21,5,7,21,7,7,6,5,7,18,7,7
115,1,110,30,82,139,88,71,69,134,65,28,291947,1862273,64257,23769,6364,1309831,11149,27675,13028,1718,21,7,18,7,5,21,21,18,7,5,7,5,7,9,7,7,7,7,9,7
116,1,74,133,131,139,113,118,24,36,38,28,63943,1600,17544,23769,17640,1339,354387,8548,416866,14248,21,21,7,7,7,21,21,18,21,5,7,7,18,9,5,7,7,7,7,7
117,0,40,97,98,139,11,86,61,44,48,66,7931,27953,4857,23769,11477,95626,149201,74506,39012,38939,7,7,18,7,7,7,5,18,7,5,21,21,7,9,5,5,7,7,9,7
118,1,1,113,71,48,88,73,128,91,124,66,23491,3477,5703,73105,6364,60950,12000,22875,189105,656313,7,7,18,9,5,5,7,7,9,6,9,9,7,7,7,7,6,18,7,7
119,0,89,35,36,120,88,68,133,25,15,28,423526,32589,114151,41139,17852,24909,33166,75428,25750,60138,5,21,18,7,5,21,1,7,9,7,7,7,7,9,7,7,7,18,7,5
120,1,89,108,117,120,66,102,138,112,48,42,128354,116510,2421,41139,44318,185,108167,20909,28484,14011,5,21,18,7,7,7,7,7,7,5,7,7,7,9,5,5,5,18,9,7
121,0,20,84,24,120,90,56,140,55,60,88,6353,128670,393438,41139,171072,34074,100572,59835,18198,143029,21,7,7,7,7,7,7,18,9,5,7,9,18,9,5,21,5,7,7,7
122,0,85,61,118,123,14,33,129,99,46,142,17605,148324,15251,2733,13848,37183,17580,236420,126752,95897,21,5,18,7,7,7,8,18,7,7,7,7,7,9,5,5,7,5,9,5
123,1,122,133,130,46,90,20,7,127,47,4,6950,87937,247589,47813,16652,24214,580437,93732,36525,4441,7,1,7,7,5,7,7,7,9,5,21,7,18,9,7,21,5,18,7,7
124,1,85,9,58,46,90,70,111,94,22,11,6235,20082,39137,47813,122605,40211,7258,59268,329247,106693,21,5,18,7,6,7,1,18,9,7,7,7,7,9,7,21,7,7,7,5
125,1,20,133,40,46,63,87,2,134,132,110,800651,443780,184426,47813,88056,9381,68823,33587,361000,112764,7,21,18,7,6,7,5,18,9,6,5,7,7,9,7,21,7,7,7,7
126,1,136,21,36,46,42,23,2,57,27,66,772652,35661,104530,47813,242912,281128,3148816,68371,96187,25405,21,7,18,7,6,7,5,7,9,7,7,5,7,9,7,21,7,18,7,6
127,0,33,30,36,46,75,29,53,130,15,4,1770637,362756,104530,47813,211343,15059,1532851,6050,83043,553166,7,5,18,7,6,21,5,18,9,5,21,7,7,9,7,7,7,7,7,7
128,1,44,40,25,46,75,29,140,26,48,51,15185,15584,13889,47813,63972,6895,51756,27568,64083,2849,21,5,7,7,6,7,21,7,7,7,7,7,18,9,7,21,7,18,9,5
129,0,135,119,57,46,14,68,139,91,116,4,8807,35269,11351,47813,41657,8037,43504,7617,20122,55473,21,21,7,7,7,21,6,8,9,7,7,7,18,9,5,7,7,18,7,5
130,1,16,13,58,46,75,102,30,43,27,142,132552,102426,26345,47813,46291,155086,9152,5549,47598,6676,21,5,7,7,5,7,5,18,7,7,7,7,18,9,7,21,7,7,9,5
131,0,85,84,98,46,67,117,129,36,27,50,17248,21105,43486,17789,8308,1334,70187,19644,106989,7175,7,5,7,9,7,7,5,18,7,6,21,7,18,7,6,21,7,7,9,7
132,1,40,126,36,72,107,29,21,127,123,13,3107,107875,104530,1187675,66083,15995,1507,90677,43932,217555,7,7,18,7,7,21,7,7,9,7,21,9,7,9,6,7,21,18,7,5
133,1,16,30,36,46,107,89,53,99,15,78,52142,1516321,104530,47813,185950,8476,22602,237032,14406,6282,21,7,18,7,6,5,5,5,7,5,7,5,7,9,7,7,7,18,9,7
134,1,135,119,82,46,107,78,139,35,27,50,380566,73957,15987,47813,21373,21359,30622,43543,115729,8482,6,5,7,7,6,7,6,7,21,7,7,7,18,9,7,21,7,18,7,9
135,0,93,67,57,46,75,59,53,44,27,63,2253,113565,43235,47813,1441376,24457,5018,14252,90466,3600,7,6,7,7,7,7,7,7,9,7,21,7,18,9,6,21,5,18,7,5
136,1,100,69,117,46,115,20,126,131,47,114,34107,2133,11752,47813,409329,39150,268681,7557,98638,93182,21,5,18,7,7,21,2,7,7,7,7,7,7,9,5,7,7,18,9,5
137,0,40,2,134,46,78,48,109,55,15,107,18401,14996,5662,47813,18302,43500,14877,168453,26946,458639,7,5,18,7,5,7,18,7,7,6,21,7,7,9,7,21,7,18,9,7
138,0,45,67,57,46,100,23,2,71,72,90,131646,463877,164266,47813,201673,13591,2010392,272330,347046,195074,21,5,18,7,5,21,5,18,7,5,7,7,7,9,7,7,7,7,9,7
139,1,33,69,36,46,42,102,108,134,27,14,16082,65868,104530,47813,51680,11290,154552,26704,20536,37129,21,5,18,7,5,21,7,7,9,7,7,7,7,9,7,7,21,18,7,5
140,1,95,61,36,46,63,129,9,105,27,75,383308,4833,104530,47813,74944,32522,4148,52029,120435,121058,7,5,18,7,6,7,7,7,7,7,21,7,7,9,7,5,5,18,9,6
141,0,121,53,62,46,113,18,67,57,116,76,44372,1302229,480784,47813,14451,285673,326848,86819,16956,318049,5,7,7,7,6,21,7,7,9,6,7,5,18,9,5,7,21,18,7,7
142,0,93,2,134,46,115,20,84,55,72,142,588,422230,19102,47813,206730,10863,21155,14240,48134,236594,21,5,18,7,5,7,5,7,7,6,7,7,7,9,7,5,7,18,9,7
143,1,68,138,36,46,75,118,64,70,27,142,16369,941911,104530,47813,22964,54247,19781,17105,60509,92208,7,7,18,7,7,7,5,18,9,6,21,5,7,9,6,5,7,7,7,7
144,1,33,61,36,46,115,86,138,80,104,78,23131,33203,104530,47813,32853,179508,77357,16658,1221,10457,21,7,18,7,6,7,5,7,7,7,7,6,7,9,7,21,7,18,9,6
145,1,61,133,36,46,4,117,119,37,27,11,4046,33224,104530,47813,79456,388898,79671,434327,111114,63345,5,7,18,7,7,7,7,18,9,5,7,1,7,9,5,21,8,8,7,7
