,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,1.0,190167.0,4.5,13763.0,114733.0,13.0,11315.0,117345.0,8.0,10746.0,126171.0,6.0,11240.0,28148.0,2.6666666666666665,7095.0,10831.8,4791.980676087916,0.0,1.0,1.0,0.0,1.0,1.0,51864.0,0.5,8724.0,149173.0,0.6666666666666666,9935.0,176689.0,2.5,11362.0,90986.0,0.42857142857142855,9577.0,47421.0,1.5,6395.0,9198.6,3667.586290736729,1.0,0.0,0.0,1.0,0.0,2.0
1,0.0,275650.0,0.8,14833.0,144558.0,2.571428571428572,14198.0,273665.0,2.6666666666666665,16513.0,143100.0,1.6666666666666667,14081.0,47384.0,1.3846153846153846,10240.0,13973.0,4603.126980651305,1.0,1.0,0.0,0.0,0.0,3.0,198237.0,2.6666666666666665,13888.0,254282.0,3.333333333333333,19432.0,117982.0,1.4444444444444444,12125.0,274957.0,6.0,17859.0,132539.0,1.7777777777777777,11999.0,15060.6,6804.874223672323,0.0,0.0,1.0,1.0,1.0,2.0
2,1.0,296778.0,4.2,19604.0,135577.0,2.5,13026.0,210478.0,1.4285714285714286,13523.0,142658.0,2.4285714285714284,14200.0,53283.0,2.833333333333333,11466.0,14363.8,6195.193685430667,1.0,1.0,1.0,1.0,1.0,5.0,150820.0,0.9090909090909092,12111.0,211066.0,2.5,13768.0,168679.0,1.3,11977.0,189031.0,1.6,15054.0,71784.0,1.8571428571428568,11878.0,12957.6,2809.890602852717,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,75493.0,1.6666666666666667,8307.0,89493.0,14.0,8342.0,144383.0,4.0,9899.0,88865.0,20.0,9913.0,19972.0,19.0,7024.0,8697.0,2449.594660346891,1.0,1.0,1.0,1.0,0.0,3.0,113784.0,1.1111111111111112,10908.0,59419.0,0.4,6055.0,84367.0,0.3333333333333333,6750.0,55696.0,0.14285714285714285,5382.0,17624.0,0.2222222222222222,4650.0,6749.0,4904.427387575434,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,107496.0,1.1666666666666667,9667.0,82467.0,1.3333333333333333,8432.0,123495.0,0.75,8500.0,114598.0,2.0,10772.0,27180.0,1.875,8313.0,9136.8,2129.76402448722,0.0,0.0,1.0,1.0,0.0,3.0,73410.0,1.6,9079.0,85048.0,3.4,10583.0,88868.0,3.6,11379.0,147536.0,8.5,13229.0,8055.0,3.4,7034.0,10260.8,4687.567044853865,1.0,1.0,0.0,0.0,1.0,1.0
5,1.0,44085.0,2.4,8756.0,66917.0,5.5,8073.0,115905.0,1.8333333333333333,9193.0,129534.0,14.0,14003.0,40364.0,3.8,8745.0,9754.0,4817.527166503579,0.0,1.0,0.0,1.0,0.0,3.0,71401.0,0.8571428571428571,8390.0,91881.0,1.5,9231.0,86450.0,0.875,7898.0,36647.0,1.1428571428571428,7100.0,32722.0,1.375,8066.0,8137.0,1548.6691060391174,1.0,0.0,1.0,0.0,0.0,0.0
6,0.0,70527.0,0.5555555555555556,7753.0,83246.0,1.25,9185.0,152916.0,0.9,11255.0,16169.0,0.3333333333333333,5008.0,95539.0,4.0,12052.0,9050.6,5649.090652485584,0.0,0.0,0.0,0.0,0.0,0.0,87489.0,11.0,10217.0,111475.0,2.125,13462.0,174201.0,5.333333333333333,11721.0,121839.0,3.4,11997.0,24109.0,3.75,8424.0,11164.2,3832.668887342083,1.0,1.0,1.0,1.0,1.0,3.0
7,1.0,62304.0,1.4666666666666666,13350.0,198525.0,6.0,17756.0,220178.0,9.25,20286.0,205307.0,7.25,18157.0,64339.0,4.666666666666667,13894.0,16688.6,5932.357642624052,0.0,1.0,0.0,0.0,1.0,4.0,165831.0,1.1538461538461535,14391.0,281183.0,1.3636363636363635,15860.0,195233.0,1.7142857142857142,14181.0,226094.0,3.0,15772.0,59159.0,1.6,11390.0,14318.8,3617.8942494218927,1.0,0.0,1.0,1.0,0.0,1.0
8,0.0,155898.0,1.8888888888888888,12535.0,196161.0,5.0,15485.0,264174.0,3.0,15716.0,173887.0,1.8333333333333333,15865.0,44424.0,1.8,11815.0,14283.2,3891.984686506359,1.0,0.0,0.0,0.0,0.0,2.0,168476.0,2.833333333333333,16030.0,186432.0,1.7777777777777777,13233.0,254593.0,2.0,16347.0,212316.0,3.75,20979.0,36957.0,2.625,11775.0,15672.8,7062.815642504058,0.0,1.0,1.0,1.0,1.0,3.0
9,0.0,100160.0,1.4285714285714286,10694.0,89460.0,4.333333333333333,9665.0,97764.0,1.125,8677.0,139317.0,1.3636363636363635,11750.0,20736.0,3.0,7958.0,9748.8,3043.1803758568108,1.0,1.0,1.0,0.0,0.0,2.0,109743.0,3.75,11398.0,119501.0,1.6666666666666667,9708.0,185961.0,4.75,13168.0,123310.0,6.25,14986.0,36462.0,8.0,8221.0,11496.2,5376.602719189879,0.0,0.0,0.0,1.0,1.0,2.0
